barcode	condition	dilution	total_reads	total_assembled	non_virus_reads
barcode01	Zhou_2P	E1	188578	185612	2966
barcode02	Zhou_2P	E2	208547	205702	2845
barcode03	Zhou_2P	E3	125241	120544	4697
barcode04	Zhou_2P	E4	163085	159271	3814
barcode05	Zhou_2P	E5	105502	102514	2988
barcode06	Zhou_2P	E6	36923	35333	1590
barcode07	Zhou_3P	E1	127782	125482	2300
barcode08	Zhou_3P	E1	171306	168605	2701
barcode09	Zhou_2P	E1	167663	164856	2807
barcode10	Zhou_2P	E2	216239	212803	3436
barcode11	Zhou_2P	E3	213045	208115	4930
barcode12	Zhou_2P	E4	183715	177656	6059
barcode13	Zhou_2P	E5	146739	143297	3442
barcode14	Zhou_2P	E6	40477	35008	5469
barcode15	Zhou_3P	E2	192422	189478	2944
barcode16	Zhou_3P	E2	145598	143173	2425
barcode17	Zhou_2P	E1	232652	229043	3609
barcode18	Zhou_2P	E2	183722	181073	2649
barcode19	Zhou_2P	E3	206741	202453	4288
barcode20	Zhou_2P	E4	181957	179055	2902
barcode21	Zhou_2P	E5	108603	106054	2549
barcode22	Zhou_2P	E6	30751	29526	1225
barcode23	Zhou_3P	E3	170092	167203	2889
barcode24	Zhou_3P	E3	159431	156806	2625
barcode25	Rambo_3P	E1	244556	238811	5745
barcode26	Rambo_3P	E2	193857	190065	3792
barcode27	Rambo_3P	E3	199776	195994	3782
barcode28	Rambo_3P	E4	126496	121265	5231
barcode29	Rambo_3P	E5	61377	56279	5098
barcode30	Rambo_3P	E6	40167	27773	12394
barcode31	Zhou_3P	E4	153123	149874	3249
barcode32	Zhou_3P	E4	213188	208323	4865
barcode33	Rambo_3P	E1	181127	176891	4236
barcode34	Rambo_3P	E2	147421	144131	3290
barcode35	Rambo_3P	E3	147446	144526	2920
barcode36	Rambo_3P	E4	134908	130323	4585
barcode37	Rambo_3P	E5	83766	74004	9762
barcode38	Rambo_3P	E6	57454	33425	24029
barcode39	Zhou_3P	E5	114723	112376	2347
barcode40	Zhou_3P	E5	113878	110382	3496
barcode41	Rambo_3P	E1	194445	190211	4234
barcode42	Rambo_3P	E2	145293	142462	2831
barcode43	Rambo_3P	E3	150992	148113	2879
barcode44	Rambo_3P	E4	118257	114353	3904
barcode45	Rambo_3P	E5	90685	78412	12273
barcode46	Rambo_3P	E6	35473	26852	8621
barcode47	Zhou_3P	E6	53788	53376	412
barcode48	Zhou_3P	E6	65108	64131	977
barcode49	Licheri_2uM	E1	175006	173781	1225
barcode50	Licheri_2uM	E2	136940	135742	1198
barcode51	Licheri_2uM	E3	73907	73236	671
barcode52	Licheri_2uM	E4	68333	67779	554
barcode53	Licheri_2uM	E5	31758	31601	157
barcode54	Licheri_2uM	E6	5256	5188	68
barcode55	Zhou_3P	E1	112085	109905	2180
barcode57	Licheri_2uM	E1	181481	179952	1529
barcode58	Licheri_2uM	E2	110652	109647	1005
barcode59	Licheri_2uM	E3	127013	125956	1057
barcode60	Licheri_2uM	E4	57497	57048	449
barcode61	Licheri_2uM	E5	43428	43198	230
barcode62	Licheri_2uM	E6	11900	11428	472
barcode63	Zhou_3P	E2	184433	181572	2861
barcode65	Licheri_2uM	E1	128852	127800	1052
barcode66	Licheri_2uM	E2	113085	112095	990
barcode67	Licheri_2uM	E3	116339	115399	940
barcode68	Licheri_2uM	E4	61248	60758	490
barcode69	Licheri_2uM	E5	19505	19388	117
barcode70	Licheri_2uM	E6	4265	4167	98
barcode71	Zhou_3P	E3	152173	150127	2046
barcode73	Licheri_5uM	E1	145333	142718	2615
barcode74	Licheri_5uM	E2	179240	176796	2444
barcode75	Licheri_5uM	E3	160317	158579	1738
barcode76	Licheri_5uM	E4	78132	77281	851
barcode77	Licheri_5uM	E5	34164	33921	243
barcode78	Licheri_5uM	E6	14027	13945	82
barcode79	Zhou_3P	E4	166689	162124	4565
barcode81	Licheri_5uM	E1	257408	253680	3728
barcode82	Licheri_5uM	E2	202788	199792	2996
barcode83	Licheri_5uM	E3	245624	242973	2651
barcode84	Licheri_5uM	E4	145374	143862	1512
barcode85	Licheri_5uM	E5	62618	62190	428
barcode86	Licheri_5uM	E6	23552	23385	167
barcode87	Zhou_3P	E5	64349	61901	2448
barcode89	Licheri_5uM	E1	211142	207655	3487
barcode90	Licheri_5uM	E2	206771	203744	3027
barcode91	Licheri_5uM	E3	159190	157062	2128
barcode92	Licheri_5uM	E4	84371	83561	810
barcode93	Licheri_5uM	E5	60686	60270	416
barcode94	Licheri_5uM	E6	11067	10973	94
barcode95	Zhou_3P	E6	73051	71377	1674
