protocol	Dilution	HA	MP	NA	NP	NS	PA	PB1	PB2	condition
Zhou_2P	E1	1326.0352733686068	6253.516293279023	763.1992907801418	1017.9211756847028	609.3150357995227	172.3821478382148	57.42480211081794	215.3342105263158	Zhou_2P_E1
Zhou_2P	E2	1330.0305702527926	6507.280040733198	771.4822695035461	896.9218436873748	640.8090692124105	144.0423059042306	50.30474934036939	160.98815789473684	Zhou_2P_E2
Zhou_2P	E3	1242.0546737213404	6564.5366598778	740.9780141843971	911.3480293921176	805.8186157517899	118.05346350534636	41.15303430079155	146.03464912280702	Zhou_2P_E3
Zhou_2P	E4	1177.9588477366256	6958.702647657841	494.3326241134752	758.6820307281229	759.2947494033413	97.73268247326824	35.86279683377309	78.81140350877193	Zhou_2P_E4
Zhou_2P	E5	1251.6302175191065	6374.671079429735	722.0524822695036	912.120240480962	474.2207637231504	145.7907949790795	28.557607739665787	173.94429824561402	Zhou_2P_E5
Zhou_2P	E6	1112.9429747207523	7266.391038696538	490.7070921985816	412.8316633266533	402.4558472553699	65.83914458391446	117.97185576077396	125.765350877193	Zhou_2P_E6
Zhou_3P	E1	862.4462081128747	4434.361507128309	1339.41914893617	1585.9311957247828	1436.5775656324583	370.9023709902371	169.39841688654354	313.705701754386	Zhou_3P_E1
Zhou_3P	E1	810.0176366843034	4423.607942973524	1364.417730496454	1523.87040748163	1650.6694510739858	340.16922361692235	177.5061565523307	312.0394736842105	Zhou_3P_E1
Zhou_2P	E1	1358.2004703115815	5983.624236252545	804.1680851063829	1096.6172344689378	598.1945107398568	204.9581589958159	68.5263852242744	222.71008771929823	Zhou_2P_E1
Zhou_2P	E2	1284.3339212228102	6037.022403258656	821.2624113475177	1176.7194388777557	625.8162291169451	184.44119014411905	62.1358839050132	225.4482456140351	Zhou_2P_E2
Zhou_2P	E3	1205.2768959435623	6307.674134419552	809.0283687943263	1028.9552438209753	651.3377088305489	172.51046025104603	55.37554969217239	190.265350877193	Zhou_2P_E3
Zhou_2P	E4	1138.4873603762492	6546.220977596741	710.2425531914894	1033.7548430193722	715.4892601431981	123.77591817759182	40.05628847845207	125.1907894736842	Zhou_2P_E4
Zhou_2P	E5	1097.2522045855378	6072.017311608961	773.7943262411347	1044.1549766199064	562.8806682577566	156.82380288238028	101.28100263852242	154.25263157894736	Zhou_2P_E5
Zhou_2P	E6	923.1969429747209	5848.8503054989815	491.231914893617	425.1008684034736	1161.0298329355608	124.46443514644352	21.78276165347405	35.964035087719296	Zhou_2P_E6
Zhou_3P	E2	798.9688418577307	4408.524439918534	1380.6836879432624	1580.3473613894455	1634.7016706443917	309.1627150162715	139.47097625329815	277.86798245614034	Zhou_3P_E2
Zhou_3P	E2	773.5955320399764	4625.3991853360485	1333.1950354609928	1586.9726118904475	1487.6575178997614	321.3663412366341	149.01627088830256	278.734649122807	Zhou_3P_E2
Zhou_2P	E1	1547.7389770723105	6338.183299389002	621.4524822695035	986.0153640614562	599.2684964200478	168.20827522082752	52.72251539138082	167.69298245614036	Zhou_2P_E1
Zhou_2P	E2	1384.7389770723105	6254.906313645622	696.0035460992908	983.3600534402136	709.7565632458234	160.68061366806137	54.13192612137203	200.60394736842105	Zhou_2P_E2
Zhou_2P	E3	1246.8959435626102	6278.225050916497	783.0	1058.2812291249163	752.3985680190931	167.8512319851232	47.21943711521548	183.80043859649123	Zhou_2P_E3
Zhou_2P	E4	1291.3650793650793	6607.959266802444	610.1631205673759	914.0808283233132	770.0023866348449	97.8038121803812	35.706244503078274	130.17149122807018	Zhou_2P_E4
Zhou_2P	E5	1088.6513815402704	6420.609979633401	642.9007092198582	1101.0354041416165	681.8078758949881	117.43607624360764	66.18073878627969	123.82850877192982	Zhou_2P_E5
Zhou_2P	E6	1818.8683127572017	5557.815682281059	501.2212765957447	864.2665330661323	642.008353221957	121.95583449558345	83.15655233069481	152.83245614035087	Zhou_2P_E6
Zhou_3P	E3	796.7965902410347	4604.818737270875	1324.3709219858156	1535.37541750167	1683.153937947494	264.5392840539284	143.91072999120493	213.65087719298245	Zhou_3P_E3
Zhou_3P	E3	829.6331569664903	4499.1069246435845	1398.7943262411347	1580.626586506346	1519.3854415274463	271.4086471408648	124.78847845206684	247.0482456140351	Zhou_3P_E3
Rambo_3P	E1	1040.3045267489713	2667.243380855397	1263.9170212765955	1383.5791583166333	1363.5155131264917	530.4979079497908	197.3777484608619	432.0285087719298	Rambo_3P_E1
Rambo_3P	E2	990.5114638447972	2563.019348268839	1340.6843971631206	1373.128256513026	1455.8615751789976	579.7870757787076	256.8170624450308	432.234649122807	Rambo_3P_E2
Rambo_3P	E3	1071.8483245149912	2791.572301425662	1350.477304964539	1404.376085504342	1256.599045346062	566.699209669921	295.41424802110816	479.8855263157895	Rambo_3P_E3
Rambo_3P	E4	1036.387419165197	2804.6700610997964	1341.0815602836878	1436.1663326653306	1062.082338902148	634.9130636913063	355.05540897097626	590.6907894736842	Rambo_3P_E4
Rambo_3P	E5	921.883597883598	3002.140529531568	1673.148226950355	1363.6105544422178	771.3770883054892	690.5425383542538	256.2911169744943	563.6	Rambo_3P_E5
Rambo_3P	E6	715.9276895943563	1288.1700610997964	1142.968794326241	749.7628590514362	1393.9463007159904	561.068340306834	511.47141600703605	661.7464912280702	Rambo_3P_E6
Zhou_3P	E4	723.3192239858906	4726.955193482689	1295.404964539007	1531.1489645958584	1691.6252983293557	209.33658763365875	98.5386983289358	170.90087719298245	Zhou_3P_E4
Zhou_3P	E4	702.2522045855379	4788.5580448065175	1339.8219858156028	1511.9726118904475	1727.8019093078758	263.58484425848445	86.13984168865436	192.0517543859649	Zhou_3P_E4
Rambo_3P	E1	1034.668430335097	2660.979633401222	1313.904964539007	1419.056780227121	1346.609785202864	513.9846582984658	225.91160949868075	437.2947368421053	Rambo_3P_E1
Rambo_3P	E2	1030.0458553791889	2696.336048879837	1325.2035460992909	1426.0093520374082	1282.571599045346	585.5290562529057	241.5268249780123	448.9135964912281	Rambo_3P_E2
Rambo_3P	E3	1051.1746031746031	2612.21283095723	1437.4113475177303	1430.433533734135	1258.2601431980906	578.301720130172	267.7761653474055	467.6460526315789	Rambo_3P_E3
Rambo_3P	E4	982.7413286302176	2903.17617107943	1520.3737588652482	1502.053440213761	1027.016706443914	658.6132031613204	325.4547053649956	552.4982456140351	Rambo_3P_E4
Rambo_3P	E5	1017.785420340976	2746.4684317718943	1329.7900709219855	1409.1476285905144	661.4009546539379	700.814969781497	416.3544415127529	577.1385964912281	Rambo_3P_E5
Rambo_3P	E6	500.8018812463257	1158.867617107943	1535.2468085106384	1386.744822979292	451.1933174224344	366.5192933519293	287.09454705364993	418.7118421052632	Rambo_3P_E6
Zhou_3P	E5	728.9659024103469	4556.1802443991855	1343.7148936170213	1356.5417501670006	1932.5739856801908	221.39562993956295	84.46218117854002	162.63333333333333	Zhou_3P_E5
Zhou_3P	E5	812.3815402704291	4664.279022403259	1269.7978723404256	1438.802271209085	1425.7565632458234	291.3765690376569	102.93887423043095	199.35087719298247	Zhou_3P_E5
Rambo_3P	E1	1030.3251028806585	2689.1751527494907	1295.6617021276595	1316.379425517702	1467.079952267303	521.9125987912598	222.77088830255056	453.91184210526313	Rambo_3P_E1
Rambo_3P	E2	1007.1334509112288	2816.8034623217923	1392.042553191489	1428.879759519038	1406.415274463007	533.2682473268247	230.5171503957784	443.1701754385965	Rambo_3P_E2
Rambo_3P	E3	1018.3203997648442	2939.492871690428	1342.0936170212765	1404.794255177021	1266.9307875894988	561.0650860065086	269.87203166226914	455.0934210526316	Rambo_3P_E3
Rambo_3P	E4	1089.5061728395062	2794.019348268839	1430.5858156028369	1407.3046092184368	1007.5668257756564	616.1120409112041	361.217238346526	516.5521929824562	Rambo_3P_E4
Rambo_3P	E5	862.843621399177	1944.776985743381	1386.9127659574467	1355.5577822311288	1232.6945107398567	748.161320316132	441.1253298153034	576.2271929824561	Rambo_3P_E5
Rambo_3P	E6	308.35273368606704	2729.734215885947	1574.159574468085	1940.6446225784905	256.3496420047733	610.4058577405858	217.4076517150396	398.63640350877193	Rambo_3P_E6
Zhou_3P	E6	795.7089947089947	4828.234215885947	1584.096453900709	1392.118236472946	1342.983293556086	240.35006973500697	98.09542656112576	181.28201754385964	Zhou_3P_E6
Zhou_3P	E6	917.3386243386244	4143.656822810591	1350.868085106383	1249.7314629258517	1977.6229116945108	289.3881915388192	156.04573438874232	206.0842105263158	Zhou_3P_E6
Zhou_3P	E1	837.464432686655	4187.328920570265	1482.9567375886525	1663.492317969272	1398.130071599045	395.69595536959554	195.05892700087952	323.5372807017544	Zhou_3P_E1
Zhou_3P	E2	841.8253968253969	4507.489816700611	1305.2390070921986	1586.9178356713426	1453.4128878281622	341.63458856345886	185.3702726473175	314.1464912280702	Zhou_3P_E2
Zhou_3P	E3	744.8518518518518	4757.921588594705	1326.986524822695	1621.191716766867	1465.0083532219571	282.92282659228266	153.97801231310467	250.52061403508773	Zhou_3P_E3
Licheri_5uM	E1	638.5720164609054	2337.022403258656	1333.408510638298	1535.3914495657982	2892.5513126491646	474.4267782426778	227.844327176781	378.3065789473684	Licheri_5uM_E1
Licheri_5uM	E2	653.5520282186949	2312.897148676171	1449.1758865248228	1626.884435537742	2862.326968973747	422.6796838679684	264.09146877748464	377.67587719298245	Licheri_5uM_E2
Licheri_5uM	E3	682.3286302175192	2293.220977596741	1518.4886524822696	1673.7054108216432	2615.715990453461	551.0269642026964	288.032981530343	457.34517543859647	Licheri_5uM_E3
Licheri_5uM	E4	708.5908289241622	2230.449083503055	1517.9163120567375	1784.2631930527723	2523.082338902148	615.348210134821	391.0998240985048	488.36929824561406	Licheri_5uM_E4
Licheri_5uM	E5	643.880658436214	2457.978615071283	1490.445390070922	1947.1449565798264	2574.335322195704	497.9558344955835	339.44503078276165	533.9122807017544	Licheri_5uM_E5
Licheri_5uM	E6	721.45620223398	2636.1354378818737	1731.290780141844	2286.1075484301937	1932.131264916468	511.0083682008368	388.7475813544416	555.2938596491229	Licheri_5uM_E6
Zhou_3P	E4	766.1252204585538	4855.169042769858	1312.7078014184397	1453.8136272545091	1625.3591885441529	274.30590423059044	93.448109058927	175.96008771929826	Zhou_3P_E4
Licheri_5uM	E1	589.8871252204585	2355.415478615071	1429.268794326241	1568.11623246493	2893.118138424821	450.7024639702464	245.60158311345648	380.0991228070175	Licheri_5uM_E1
Licheri_5uM	E2	591.8606701940035	2203.12932790224	1420.758865248227	1590.6092184368738	2745.6300715990456	504.78335657833566	317.2502198768689	401.9789473684211	Licheri_5uM_E2
Licheri_5uM	E3	608.8547912992358	2295.3533604887984	1411.7297872340423	1636.12625250501	2710.964200477327	487.1027429102743	333.9001759014952	452.23377192982457	Licheri_5uM_E3
Licheri_5uM	E4	514.3539094650206	2213.0132382892057	1533.1304964539006	1706.6760187040747	2682.9630071599045	665.9483960948396	403.3109058927001	530.8956140350878	Licheri_5uM_E4
Licheri_5uM	E5	599.7660199882422	2072.6160896130345	1696.872340425532	1734.9084836339346	2567.6622911694512	740.3951650395165	379.22559366754615	569.1894736842105	Licheri_5uM_E5
Licheri_5uM	E6	662.3015873015873	2517.431771894094	1744.6921985815602	2511.8951235804943	2328.887828162291	443.2282659228266	144.7141600703606	332.82412280701755	Licheri_5uM_E6
Zhou_3P	E5	717.8348030570253	4883.793279022403	1237.3765957446808	1399.0868403473614	1781.3042959427207	197.6703858670386	76.8117854001759	177.57061403508771	Zhou_3P_E5
Licheri_5uM	E1	705.7589653145209	2359.949083503055	1345.042553191489	1575.4729458917836	2888.316229116945	425.77777777777777	216.7585751978892	408.6890350877193	Licheri_5uM_E1
Licheri_5uM	E2	646.0629041740153	2352.3228105906314	1343.6851063829788	1669.9118236472946	2914.299522673031	467.4467689446769	243.37247141600704	385.74868421052633	Licheri_5uM_E2
Licheri_5uM	E3	589.8924162257496	2236.3462321792263	1486.3673758865248	1713.0207080828322	2634.0011933174223	590.8661087866109	300.53430079155675	475.5583333333333	Licheri_5uM_E3
Licheri_5uM	E4	585.7813051146385	2024.2718940936863	1582.7985815602838	1909.567802271209	2698.0978520286394	687.3923756392376	363.0452946350044	453.1482456140351	Licheri_5uM_E4
Licheri_5uM	E5	357.2475014697237	1936.19450101833	1508.7304964539007	2006.9004676018703	2823.910501193317	796.8303114830311	406.877308707124	519.1416666666667	Licheri_5uM_E5
Licheri_5uM	E6	364.6343327454439	1748.0162932790224	2175.5914893617023	1120.410821643287	2824.7494033412886	908.0729893072988	112.05980650835532	748.6061403508772	Licheri_5uM_E6
Zhou_3P	E6	1119.061140505585	5051.825865580448	1023.6219858156028	1197.574482297929	1207.2708830548927	253.6657368665737	158.55057167985927	204.64429824561404	Zhou_3P_E6
