sample	HA	MP	NA	NP	NS	PA	PB1	PB2
BC13	148.90593768371545	293.4297352342159	139.077304964539	322.37274549098197	401.90811455847256	130.4002789400279	157.84080914687775	81.13508771929824
BC21	174.777189888301	100.07739307535641	100.3468085106383	348.3867735470942	625.9188544152745	114.96187819618783	200.99912049252418	87.40657894736842
BC24	131.17166372721928	130.24134419551936	128.9496453900709	260.88510354041415	753.6229116945108	79.38772663877266	104.38786279683377	49.25394736842105
BC01	121.4103468547913	143.79124236252545	126.4517730496454	243.02738810955245	743.4463007159904	92.9395629939563	118.54837291116975	44.34956140350877
BC06	123.94415049970605	232.8890020366599	171.3758865248227	294.86439545758185	585.5978520286396	61.60390516039052	85.36191732629727	79.80614035087719
BC05	167.4379776601999	106.79124236252545	142.52340425531915	347.51569806279224	504.41766109785203	142.0557880055788	232.59234828496042	74.07061403508771
BC02	145.67019400352734	122.59877800407332	132.89219858156028	319.85771543086173	591.9594272076372	126.21571362157137	217.01627088830256	65.3438596491228
BC17	167.36566725455614	152.73421588594704	147.98652482269503	359.82097528390113	478.9940334128878	148.54625755462575	179.35795954265612	98.36578947368422
BC08	125.01469723691946	109.92464358452139	92.46595744680852	204.39812959251836	793.9630071599046	59.84425848442585	99.85180299032542	41.498245614035085
BC14	129.86008230452674	76.12016293279022	116.38297872340425	320.91182364729457	712.4236276849642	128.00278940027894	165.54925241864555	79.37061403508773
BC23	128.12345679012347	115.16496945010184	163.32269503546098	308.34736138944555	559.153937947494	132.29753602975362	203.11521547933157	93.73201754385966
BC04	130.98883009994123	121.74847250509166	88.13971631205673	232.28390113560454	620.8186157517899	97.13993491399349	129.7858399296394	80.51842105263158
BC16	165.40564373897706	250.71690427698573	77.1709219858156	312.1690046760187	121.12291169451073	231.24779172477918	361.42568161829377	150.49736842105264
BC03	135.60376249265138	106.09266802443992	157.38652482269504	349.27187708750836	671.8615751789977	130.70106927010693	115.66534740545295	64.3390350877193
BC22	106.78012933568489	119.81670061099797	106.5822695035461	226.51703406813627	784.3162291169451	75.51557415155742	112.38346525945471	61.3359649122807
BC12	131.79247501469723	135.89613034623218	178.15390070921987	245.30928523714095	678.9033412887828	117.7861459786146	140.17810026385223	63.059649122807016
BC10	148.0411522633745	256.9327902240326	140.4950354609929	297.0273881095524	549.8902147971361	106.9995350999535	128.6429199648197	57.45745614035088
BC11	153.00999412110522	135.9908350305499	109.61702127659575	241.94054776219104	646.4439140811456	84.20641562064156	93.53562005277045	48.2828947368421
BC20	145.16519694297472	375.0346232179226	137.55248226950354	430.4455577822311	393.9773269689737	126.93723849372385	82.06288478452066	52.775877192982456
BC19	184.43033509700177	114.91446028513238	126.03049645390071	404.12424849699397	364.2768496420048	199.7159460715946	250.5127528583993	130.00701754385966
BC15	214.40740740740742	202.78716904276985	154.2851063829787	279.0567802271209	230.75536992840097	219.52347745234775	332.7963940193492	151.76447368421051
BC07	133.6496178718401	101.80549898167006	116.03687943262412	223.64729458917836	769.9785202863961	92.90841469084147	119.61169744942832	48.35657894736842
BC18	185.48736037624926	197.9775967413442	123.9645390070922	374.5464261857047	359.22792362768496	178.5434681543468	198.73570800351803	101.47105263157894
BC09	158.994708994709	141.46130346232178	84.2531914893617	476.02271209084836	130.76133651551314	295.4346815434682	290.65215479331573	127.99517543859649
